Time (s),Altitude (m)
1.7886,154.45
1.8136,158.16
1.8386,161.87
1.8636,165.54000000000002
1.8886,169.21
1.9136000000000002,172.84
1.9386,176.47
1.9636,180.06
1.9886,183.65
2.0136000000000003,187.21
2.0386,190.77
2.0636,194.28500000000003
2.0886,197.8
2.1136,201.28500000000003
2.1386,204.77
2.1635999999999997,208.215
2.1886,211.66
2.2136,215.07
2.2386,218.48
2.2636000000000003,221.86
2.2886,225.24
2.3136,228.57999999999998
2.3386,231.92
2.3636,235.23
2.3886,238.54
2.4135999999999997,241.815
2.4386,245.09
2.4636,248.32999999999998
2.4886,251.57
2.5136000000000003,254.78
2.5386,257.99
2.5636,261.16499999999996
2.5886,264.34
2.6136,267.49
2.6386,270.64
2.6635999999999997,273.755
2.6886,276.87
2.7136,279.95
2.7386,283.03
2.7636000000000003,286.085
2.7886,289.14
2.8136,292.16499999999996
2.8386,295.19
2.8636,298.185
2.8886,301.18
2.9135999999999997,304.14
2.9386,307.1
2.9636,310.04
2.9886,312.98
3.0136000000000003,315.885
3.0386,318.79
3.0636,321.67
3.0886,324.55
3.1136,327.4
3.1386,330.25
3.1635999999999997,333.075
3.1886,335.9
3.2136,338.695
3.2386,341.49
3.2636000000000003,344.26
3.2886,347.03
3.3136,349.77
3.3386,352.51
3.3636,355.225
3.3886,357.94
3.4135999999999997,360.635
3.4386,363.33
3.4636,365.99
3.4886,368.65
3.5136000000000003,371.28999999999996
3.5386,373.93
3.5636,376.545
3.5886,379.16
3.6136,381.75
3.6386,384.34
3.6635999999999997,386.9
3.6886,389.46
3.7136,392.0
3.7386,394.54
3.7636000000000003,397.055
3.7886,399.57
3.8136,402.06
3.8386,404.55
3.8636,407.02
3.8886,409.49
3.9135999999999997,411.935
3.9386,414.38
3.9636,416.8
3.9886,419.22
4.0136,421.615
4.0386,424.01
4.063599999999999,426.385
4.0886,428.76
4.1136,431.115
4.1386,433.47
4.163600000000001,435.795
4.1886,438.12
4.2136,440.43
4.2386,442.74
4.2636,445.025
4.2886,447.31
4.313599999999999,449.575
4.3386,451.84
4.3636,454.08
4.3886,456.32
4.413600000000001,458.53999999999996
4.4386,460.76
4.4636,462.96000000000004
4.4886,465.16
4.5136,467.34000000000003
4.5386,469.52
4.563599999999999,471.67499999999995
4.5886,473.83
4.6136,475.96500000000003
4.6386,478.1
4.663600000000001,480.21500000000003
4.6886,482.33
4.7136,484.42499999999995
4.7386,486.52
4.7636,488.595
4.7886,490.67
4.813599999999999,492.725
4.8386,494.78
4.8636,496.815
4.8886,498.85
4.913600000000001,500.87
4.9386,502.89
4.9636,504.885
4.9886,506.88
5.0136,508.855
5.0386,510.83
5.063599999999999,512.785
5.0886,514.74
5.1136,516.6800000000001
5.1386,518.62
5.163600000000001,520.5350000000001
5.1886,522.45
5.2136,524.35
5.2386,526.25
5.2636,528.135
5.2886,530.02
5.313599999999999,531.88
5.3386,533.74
5.3636,535.585
5.3886,537.43
5.413600000000001,539.255
5.4386,541.08
5.4636,542.885
5.4886,544.69
5.5136,546.48
5.5386,548.27
5.563599999999999,550.0450000000001
5.5886,551.82
5.688599999999999,551.7219
5.788599999999999,551.5257
5.8885999999999985,551.2314
5.988599999999998,550.839
6.088599999999998,550.3485000000001
6.188599999999997,549.7599
6.288599999999997,549.0732
6.388599999999997,548.2884
6.488599999999996,547.4055000000001
6.588599999999996,546.4245000000001
6.688599999999996,545.3454
6.788599999999995,544.1682000000001
6.888599999999995,542.8929
6.988599999999995,541.5195000000001
7.088599999999994,540.0480000000001
7.188599999999994,538.5480000000001
7.2885999999999935,537.0480000000001
7.388599999999993,535.5480000000001
7.488599999999993,534.0480000000001
7.5885999999999925,532.5480000000001
7.688599999999992,531.0480000000001
7.788599999999992,529.5480000000001
7.888599999999991,528.0480000000001
7.988599999999991,526.5480000000001
8.08859999999999,525.0480000000001
8.18859999999999,523.5480000000001
8.28859999999999,522.0480000000001
8.38859999999999,520.5480000000001
8.48859999999999,519.0480000000001
8.588599999999989,517.5480000000001
8.688599999999989,516.0480000000001
8.788599999999988,514.5480000000001
8.888599999999988,513.0480000000001
8.988599999999987,511.5480000000001
9.088599999999987,510.0480000000001
9.188599999999987,508.5480000000001
9.288599999999986,507.0480000000001
9.388599999999986,505.5480000000001
9.488599999999986,504.0480000000001
9.588599999999985,502.5480000000001
9.688599999999985,501.0480000000001
9.788599999999985,499.4499000000001
9.888599999999984,497.75370000000015
9.988599999999984,495.95940000000013
10.088599999999984,494.0670000000001
10.188599999999983,492.0765000000001
10.288599999999983,490.0765000000001
10.388599999999983,488.0765000000001
10.488599999999982,486.0765000000001
10.588599999999982,484.0765000000001
10.688599999999981,482.0765000000001
10.788599999999981,480.0765000000001
10.88859999999998,478.0765000000001
10.98859999999998,476.0765000000001
11.08859999999998,474.0765000000001
11.18859999999998,472.0765000000001
11.28859999999998,470.0765000000001
11.388599999999979,468.0765000000001
11.488599999999979,466.0765000000001
11.588599999999978,464.0765000000001
11.688599999999978,462.0765000000001
11.788599999999978,460.0765000000001
11.888599999999977,458.0765000000001
11.988599999999977,456.0765000000001
12.088599999999976,454.0765000000001
12.188599999999976,452.0765000000001
12.288599999999976,450.0765000000001
12.388599999999975,448.0765000000001
12.488599999999975,446.0765000000001
12.588599999999975,444.0765000000001
12.688599999999974,442.0765000000001
12.788599999999974,440.0765000000001
12.888599999999974,438.0765000000001
12.988599999999973,436.0765000000001
13.088599999999973,434.0765000000001
13.188599999999973,432.0765000000001
13.288599999999972,430.0765000000001
13.388599999999972,428.0765000000001
13.488599999999972,426.0765000000001
13.588599999999971,424.0765000000001
13.68859999999997,422.0765000000001
13.78859999999997,420.0765000000001
13.88859999999997,418.0765000000001
13.98859999999997,416.0765000000001
14.08859999999997,414.0765000000001
14.188599999999969,412.0765000000001
14.288599999999969,410.0765000000001
14.388599999999968,408.0765000000001
14.488599999999968,406.0765000000001
14.588599999999968,404.0765000000001
14.688599999999967,402.0765000000001
14.788599999999967,400.0765000000001
14.888599999999967,398.0765000000001
14.988599999999966,396.0765000000001
15.088599999999966,394.0765000000001
15.188599999999965,392.0765000000001
15.288599999999965,390.0765000000001
15.388599999999965,388.0765000000001
15.488599999999964,386.0765000000001
15.588599999999964,384.0765000000001
15.688599999999964,382.0765000000001
15.788599999999963,380.0765000000001
15.888599999999963,378.0765000000001
15.988599999999963,376.0765000000001
16.088599999999964,374.0765000000001
16.188599999999965,372.0765000000001
16.288599999999967,370.0765000000001
16.38859999999997,368.0765000000001
16.48859999999997,366.0765000000001
16.58859999999997,364.0765000000001
16.688599999999973,362.0765000000001
16.788599999999974,360.0765000000001
16.888599999999975,358.0765000000001
16.988599999999977,356.0765000000001
17.08859999999998,354.0765000000001
17.18859999999998,352.0765000000001
17.28859999999998,350.0765000000001
17.388599999999983,348.0765000000001
17.488599999999984,346.0765000000001
17.588599999999985,344.0765000000001
17.688599999999987,342.0765000000001
17.788599999999988,340.0765000000001
17.88859999999999,338.0765000000001
17.98859999999999,336.0765000000001
18.088599999999992,334.0765000000001
18.188599999999994,332.0765000000001
18.288599999999995,330.0765000000001
18.388599999999997,328.0765000000001
18.488599999999998,326.0765000000001
18.5886,324.0765000000001
18.6886,322.0765000000001
18.788600000000002,320.0765000000001
18.888600000000004,318.0765000000001
18.988600000000005,316.0765000000001
19.088600000000007,314.0765000000001
19.188600000000008,312.0765000000001
19.28860000000001,310.0765000000001
19.38860000000001,308.0765000000001
19.488600000000012,306.0765000000001
19.588600000000014,304.0765000000001
19.688600000000015,302.0765000000001
19.788600000000017,300.0765000000001
19.888600000000018,298.0765000000001
19.98860000000002,296.0765000000001
20.08860000000002,294.0765000000001
20.188600000000022,292.0765000000001
20.288600000000024,290.0765000000001
20.388600000000025,288.0765000000001
20.488600000000027,286.0765000000001
20.588600000000028,284.0765000000001
20.68860000000003,282.0765000000001
20.78860000000003,280.0765000000001
20.888600000000032,278.0765000000001
